Edad;Valor;Sexo
1;-1,934754926;Hombre
2;-2,683061273;Hombre
3;-3,686775381;Hombre
4;-3,968967134;Hombre
5;-3,674800286;Hombre
6;-3,658894434;Hombre
7;-3,715387632;Hombre
8;-3,423140455;Hombre
9;-3,319661004;Hombre
10;-2,815152975;Hombre
11;-2,426373731;Hombre
12;-3,173948774;Hombre
13;-3,059042705;Hombre
14;-2,624008512;Hombre
15;-1,750192196;Hombre
16;-1,214512353;Hombre
17;-0,711832583;Hombre
18;-0,406147703;Hombre
1;1,845718721;Mujer
2;2,542650994;Mujer
3;3,499196023;Mujer
4;3,816033282;Mujer
5;3,539509131;Mujer
6;3,615016221;Mujer
7;3,787695269;Mujer
8;3,486215385;Mujer
9;3,365550301;Mujer
10;2,891482782;Mujer
11;2,585249425;Mujer
12;3,379719307;Mujer
13;3,372406272;Mujer
14;3,104566351;Mujer
15;2,443833603;Mujer
16;2,020317441;Mujer
17;1,437011455;Mujer
18;1,02117398;Mujer
